Rank;Company;Previous Rank;Revenues ($M);Profits ($M);Assets ($M);Market Value ($M);Employees;CEO;CEO Title;CEO Gender;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
1;Walmart;1;500343;9862;204522;263563;2300000;C. Douglas McMillon;President, Chief Executive Officer &  Director;Male;Retailing;General Merchandisers;24;Bentonville;AR;36.3728538;-94.2088172
2;Exxon Mobil;4;244363;19710;348691;316157;71200;Darren W. Woods;Chairman &  Chief Executive Officer;Male;Energy;Petroleum Refining;24;Irving;TX;32.8140177;-96.9488945
3;Berkshire Hathaway;2;242137;44940;702095;492008;377000;Warren E. Buffett;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Stock);24;Omaha;NE;41.2565369;-95.9345034
4;Apple;3;229234;48351;375319;851318;123000;Timothy D. Cook;Chairman &  Chief Executive Officer;Male;Technology;Computers, Office Equipment;24;Cupertino;CA;37.3229978;-122.0321823
5;UnitedHealth Group;6;201159;10558;139058;207080;260000;David S. Wichmann;Chairman &  Chief Executive Officer;Male;Health Care;Health Care: Insurance and Managed Care;24;Minnetonka;MN;44.9211836;-93.4687489
6;McKesson;5;198533;5070;60969;29067;64500;John H. Hammergren;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Health Care;24;SF;CA;37.7749295;-122.4194155
7;CVS Health;7;184765;6622;95131;63114;203000;Larry J. Merlo;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Pharmacy and Other Services;24;Woonsocket;RI;;
8;Amazon.com;12;177866;3033;131310;700668;566000;Jeffrey P. Bezos;Chairman, President &  Chief Executive Officer;Male;Retailing;Internet Services and Retailing;17;Seattle;WA;47.6062095;-122.3320708
9;AT&T;9;160546;29450;444097;218946;254000;Randall L. Stephenson;Chairman, President &  Chief Executive Officer;Male;Telecommunications;;24;Dallas;TX;32.7766642;-96.7969879
10;General Motors;8;157311;-3864;212482;50972;180000;Mary T. Barra;Chairman &  Chief Executive Officer;Female;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Detroit;MI;42.331427;-83.0457538
11;Ford Motor;10;156776;7602;257808;44244;202000;James P. Hackett;President, Chief Executive Officer &  Director;Male;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Dearborn;MI;42.3222599;-83.1763145
12;AmerisourceBergen;11;153144;364.5;35317;18938;19500;Steven H. Collis;Chairman, President &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Health Care;24;Chesterbrook;PA;40.0756627;-75.4590816
13;Chevron;19;134533;9195;253806;217845;51900;Michael K. Wirth;Chairman &  Chief Executive Officer;Male;Energy;;24;San Ramon;CA;37.7799273;-121.9780153
14;Cardinal Health;15;129976;1288;40112;19726;40400;Michael C. Kaufmann;Chairman &  Chief Executive Officer;Male;Wholesalers;Wholesalers: Health Care;24;Dublin;OH;40.0992294;-83.1140771
15;Costco;16;129025;2679;36347;82687;182000;W. Craig Jelinek;President, Chief Executive Officer &  Director;Male;Retailing;General Merchandisers;24;Issaquah;WA;47.5301011;-122.0326191
16;Verizon;14;126034;30101;257143;197497;155400;Lowell C. McAdam;Chairman &  Chief Executive Officer;Male;Telecommunications;Telecommunications;24;New York;NY;40.7127753;-74.0059728
17;Kroger;18;122662;1907;37197;20828;449000;W. Rodney McMullen;Chairman &  Chief Executive Officer;Male;Food &  Drug Stores;Food and Drug Stores;24;Cincinnati;OH;39.1031182;-84.5120196
18;General Electric;13;122274;-5786;377945;117054;313000;John L. Flannery Jr.;Chairman &  Chief Executive Officer;Male;Industrials;Industrial Machinery;24;Boston;MA;;
19;Walgreens Boots Alliance;17;118214;4078;66009;64924;290000;Stefano Pessina;Vice Chairman &  Chief Executive Officer;Male;Food &  Drug Stores;Food and Drug Stores;24;Deerfield;IL;42.1711365;-87.8445119
20;JPMorgan Chase;21;113899;24441;2533600;375043;252539;James Dimon;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
21;Fannie Mae;20;112394;2463;3345529;1633;7200;Timothy J. Mayopoulos;President, Chief Executive Officer &  Director;Male;Financials;Diversified Financials;21;Leavenworth;WA;47.7510741;-120.7401385
22;Alphabet;27;110855;12662;197295;719124;80110;Larry Page;Chief Executive Officer &  Director;Male;Technology;Internet Services and Retailing;13;Mountain View;CA;37.3860517;-122.0838511
23;Home Depot;23;100904;8630;44529;206272;413000;Craig A. Menear;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;24;Atlanta;GA;33.7489954;-84.3879824
24;Bank of America Corp.;26;100264;18232;2281234;306618;209376;Brian T. Moynihan;Chairman, President &  Chief Executive Officer;Male;Financials;Commercial Banks;24;Charlotte;NC;35.2270869;-80.8431267
25;Express Scripts Holding;22;100065;4517.4;54256;38791;26600;Timothy C. Wentworth;President, Chief Executive Officer &  Director;Male;Health Care;Health Care: Pharmacy and Other Services;19;St. Louis;MO;38.6270025;-90.1994042
26;Wells Fargo;25;97741;22183;1951757;255556;262700;Timothy J. Sloan;President, Chief Executive Officer &  Director;Male;Financials;Commercial Banks;24;SF;CA;37.7749295;-122.4194155
27;Boeing;24;93392;8197;92333;192539;140800;Dennis A. Muilenburg;Chairman, President &  Chief Executive Officer;Male;Aerospace &  Defense;Aerospace and Defense;24;Chicago;IL;41.8781136;-87.6297982
28;Phillips 66;34;91568;5106;54371;44730;14600;Greg C. Garland;Chairman &  Chief Executive Officer;Male;Energy;Petroleum Refining;6;Houston;TX;29.7604267;-95.3698028
29;Anthem;29;90040;3842.8;70540;56182;56000;Gail K. Boudreaux;President, Chief Executive Officer &  Director;Female;Health Care;Health Care: Insurance and Managed Care;24;Indianapolis;IN;39.768403;-86.158068
30;Microsoft;28;89950;21204;241086;702760;124000;Satya Nadella;Chief Executive Officer &  Director;Male;Technology;Computer Software;24;Redmond;WA;47.6739881;-122.121512
31;Valero Energy;37;88407;4065;50158;39977;10015;Joseph W. Gorder;Chairman, President &  Chief Executive Officer;Male;Energy;Petroleum Refining;20;San Antonio;TX;29.4241219;-98.4936282
32;Citigroup;30;87966;-6798;1842465;172822;209000;Michael L. Corbat;Chairman &  Chief Executive Officer;Male;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728
33;Comcast;31;84526;22714;186949;158703;164000;Brian L. Roberts;Chairman, President &  Chief Executive Officer;Male;Telecommunications;Telecommunications;23;Philadelphia;PA;39.9525839;-75.1652215
34;IBM;32;79139;5753;125356;141335;397800;Virginia M. Rometty;Chairman, President &  Chief Executive Officer;Female;Technology;Information Technology Services;24;Armonk;NY;41.1264849;-73.7140195
35;Dell Technologies;41;78660;-3728;122281;NA;145000;Michael S. Dell;Chairman &  Chief Executive Officer;Male;Technology;Computers, Office Equipment;21;Round Rock;TX;30.5082551;-97.678896
36;State Farm Insurance Cos.;33;78331;2206.5;272345;NA;65664;Michael L. Tipsord;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Property and Casualty (Mutual);24;Bloomington;IL;40.4842027;-88.9936873
37;Johnson & Johnson;35;76450;1300;157303;343780;134000;Alex Gorsky;Chairman &  Chief Executive Officer;Male;Health Care;Pharmaceuticals;24;New Brunswick;NJ;40.4862157;-74.4518188
38;Freddie Mac;39;74676;5625;2049776;878;6165;Donald H. Layton;Chairman &  Chief Executive Officer;Male;Financials;Diversified Financials;21;McLean;VA;38.9338676;-77.1772604
39;Target;38;71879;2934;38999;37409;345000;Brian C. Cornell;Chairman &  Chief Executive Officer;Male;Retailing;General Merchandisers;24;Minneapolis;MN;44.977753;-93.2650108
40;Lowes;40;68619;3447;35291;72812;255000;Robert A. Niblock;Chairman, President &  Chief Executive Officer;Male;Retailing;Specialty Retailers: Other;24;Mooresville;NC;35.5848596;-80.8100724
41;Marathon Petroleum;51;67610;3432;49047;34683;43800;Gary R. Heminger;Chairman &  Chief Executive Officer;Male;Energy;Petroleum Refining;7;Findlay;OH;41.04422;-83.6499321
42;Procter & Gamble;36;66217;15326;120406;199865;95000;David S. Taylor;Chairman, President &  Chief Executive Officer;Male;Household Products;Household and Personal Products;24;Cincinnati;OH;39.1031182;-84.5120196
43;MetLife;42;66153;4010;719892;47572;49000;Steven A. Kandarian;Chairman, President &  Chief Executive Officer;Male;Financials;Insurance: Life, Health (stock);24;New York;NY;40.7127753;-74.0059728
44;UPS;46;65872;4910;45403;90156;346415;David P. Abney;Chairman &  Chief Executive Officer;Male;Transportation;Mail, Package, and Freight Delivery;24;Atlanta;GA;33.7489954;-84.3879824
45;PepsiCo;44;63525;4857;79804;154933;263000;Indra K. Nooyi;Chairman &  Chief Executive Officer;Female;Food, Beverages &  Tobacco;Food Consumer Products;24;Harrison;NY;41.0400135;-73.7144477
46;Intel;47;62761;9601;123249;243109;102700;Robert H. Swan;Chairman &  Chief Executive Officer;Male;Technology;Semiconductors and Other Electronic Components;24;Santa Clara;CA;37.3541079;-121.9552356
47;DowDuPont;62;62683;1460;192164;148186;98000;Edward D. Breen;Chief Executive Officer;Male;Chemicals;Chemicals;24;Midland;MI;43.623574;-84.232105
