Total Comp,Top 20,Wide Industry,Company,CEO,City of Birth,State of Birth,Age,Undergrad,UG Degree,UG Date,AgeOfUnder,Graduate,Grad Degree,MBA?,MasterPhd?,G_date,AgeOfGradu,YearsFirm,YearsCEO,Salary,Bonus,other,St_gains,Comp for 5 yrs,Stock owned,Sales,Profits,Return over 5 yrs,Industry,Industry Code
203020000,TRUE,Travel,Walt Disney,Mr. Michael D Eisner,New York,NY,52,Denison U,BA,64,22,,none,0,0,,,10,10,750000,,9667,202261000,236771000,0.561,8865,779.5,17,Travel-hotelsrecreation,8
53110900,TRUE,Financial,Travelers,Mr. Sanford I Weill,New York,NY,61,Cornell,BA,55,22,,none,0,0,,,8,8,1018750,3030310,2161890,46900000,141605000,1.168,6797,950,28,Financial services-leasefinance,1
38675400,TRUE,Insurance,Conseco,Mr. Stephen C Hilbert,Terre Haute,IN,48,,,,,,none,0,0,,,15,15,250000,8287670,190570,29947100,51156100,2.842,2637,308.9,76,Insurance-lifehealth,4
38010500,TRUE,Travel,Mirage Resorts,Mr. Stephen A Wynn,New Haven,CT,52,U of Pennsylvan,BA,63,21,,none,0,0,,,21,21,1504940,,5564,36500000,43492500,14.835,953,48.1,24,Travel-hotelsrecreation,8
33689900,TRUE,Aerospacedefense,Loral,Mr. Bernard L Schwartz,New York,NY,68,CUNY City,BBA,48,22,,none,0,0,,,22,22,859000,3525670,3316240,25989000,64753300,1.728,3562,201.4,20,Aerospacedefense,11
32582300,TRUE,Health,Forest Laboratories,Mr. HowardSolomon,New York,NY,66,CUNY City,BA,49,21,Yale,JD,0,1,52,24,17,17,482885,60000,5707,32033700,62818700,1.258,333,75.7,23,Health-drugs,3
32228000,TRUE,Retailing,AutoZone,Mr. Joseph R Hyde III,Memphis,TN,51,U of North Caro,BS,65,22,,none,0,0,,,29,22,551670,551670,7552,31117100,34960900,10.038,1287,91.8,52,Retailing-specialty retailers,6
23136400,TRUE,Business,First Financial Mana,Mr. Patrick H Thomas,Atlanta,GA,51,Georgia State U,BS,60,17,Georgia State U,MS,0,1,61,18,23,20,875000,5410130,13423000,3428280,40027700,0.812,1670,127.6,28,Business-services,13
20658300,TRUE,Food,Cracker Barrel Old C,Mr. Dan W Evins,Smithville,TN,58,,,,,,none,0,0,,,24,24,326600,861748,30647,19439300,24016800,0.671,578,51.1,43,Food distributors-restaurant chains,2
16774500,TRUE,Insurance,ITT,Mr. Rand V Araskog,Fergus Falls,MN,62,US Military Aca,BS,53,21,,none,0,0,,,27,15,1525000,2584900,6836760,5827820,33770700,0.36,22043,963,15,Insurance-propertycasualty,4
16755600,TRUE,Entertainment,King World Productio,Mr. MichaelKing,Summit,NJ,46,Fairleigh Dicki,BA,71,23,,none,0,0,,,21,10,950000,1297000,11502,14497100,28655400,5.916,498,102.2,17,Entertainmentinformation-broadcasting,17
16171700,TRUE,Financial,Fund American Enterp,Mr. John J Byrne,Passaic,NJ,61,Rutgers,BS,54,21,U of Michigan,MS,0,1,59,26,9,9,550000,165000,4844980,10611800,80808800,7.705,251,70.4,20,Financial services-leasefinance,1
15914900,TRUE,Financial,Bear Stearns Cos,Mr. James E Cayne,Evanston,IL,60,,,,,,none,0,0,,,25,1,200000,8136970,7577980,,,3.011,3396,474.3,20,Financial services-brokerage,1
15706100,TRUE,Financial,Bankers Trust New Yo,Mr. Charles S Sanford Jr,Savannah,GA,57,U of Georgia,BA,58,21,U of Pennsylvan,MBA,1,1,60,23,33,7,750000,8115700,4032650,2807720,31104000,0.342,7800,1070,16,Financial services-multinational banks,1
15652900,TRUE,Entertainment,Viacom,Mr. Frank J Biondi Jr,New York,NY,49,Princeton,BA,66,21,Harvard,MBA,1,1,68,23,7,7,922045,1000000,13730800,,21464700,0.149,2005,169.5,9,Entertainmentinformation-broadcasting,17
