Year,Firm,ESG controversy score,Environment controversy score,Social controvery score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Emission Reduction/Spill/Pollution Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Responsible Mrktg Controversy(Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,esg_binaire,csr_com,csr_report,assets,roa,sg,lev,div,ind,country
2013,1&1 DRILLISCH,,,,,,,,,,,,,,,,,,,,,,,,,,588.27,1008000,1.456,19.47,0.182696294,0.216966354,,1,,,344955,47.31,-10.26,25.32,6.33,142,DE
2014,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,1116.97,1573331,2.633,71.57,0.164813988,0.270172761,,0,,,474808,12.82,-0.28,19.14,7.62,142,DE
2015,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,1581.52,2140750,2.834,15.12,0.090146573,0.096472696,,0,,,673725,8.52,117.35,23.35,5.38,142,DE
2016,1&1 DRILLISCH,, , , ,,,,,,,,,,,,,,,,,,,,,,2150.61,2239600,3.222,13.06,0.107609007,0.088284423,,0,,,582507,4.54,12.78,25.08,4.33,142,DE
2017,1&1 DRILLISCH,64.41, ,54.02692308,52.285,52.99,,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,54.08,50,51.63,52.54,52.06,52.91,2283.14,12166711,3.933,9.33,0.089737759,0.146497563,31.63,0,0,1,4591122,18.2,296.09,0.01,4.2,142,DE
2018,1&1 DRILLISCH,68.67, ,54.97230769,53.725,51.39,,51.04,55.27,60.98,64.61,51.91,53.15,54.61,56.14,53.89,51.04,51.31,51.47,59.09,56.44,50,52.71,53.86,53.12,55.21,12087.34,7848196,2.6,12.21,0.099415626,0.142417392,34.01,0,0,1,5246640,8.26,30.23,0.76,2.63,142,DE
2013,3I GROUP,62.5, ,55.48692308,52.14,53.21,,52.18,53.38,58.41,63.56,52.57,54.63,54.38,57.26,56.77,51.05,51.82,52.71,59.23,58.94,50,52.57,52.18,53.21,50.6,2109.79,3069640,0.622,-17.44,0.087955442,0.989556136,62.97,1,1,1,4309000,6.35,28.96,23.65,3.73,109,GB
2014,3I GROUP,9.09, ,55.58538462,39.0525,53.67,,52.59,53.76,59.29,63.28,52.85,53.76,54.12,57.27,56.58,51.97,51.97,52.37,60.06,59.09,50,0,52.52,52.85,50.84,3741.74,3866805,0.823,21.85,0.117164349,0.821086262,68.58,1,1,1,4387000,13.35,-17.96,19.49,3.14,109,GB
2015,3I GROUP,56.96, ,53.58307692,51.46,53.4,,52.34,53.4,56.89,59.57,52.57,52.21,53.13,54.94,53.48,51.42,51.2,51.07,55.92,54.18,50,51.52,51.31,52.08,50.93,4377,4691117,0.878,17.81,0.123982085,0.991856678,62.8,1,1,1,4912000,16.04,1.49,16.59,4.29,109,GB
2016,3I GROUP,57.63, ,53.7,51.92,53.13,,52.16,55.56,58.44,61.12,52.32,52.76,52.76,54.47,53.5,50.7,50.7,51.4,56.85,53.08,50,51.48,52.16,52.48,51.56,4684.09,4439227,0.926,15.61,0.108629076,0.820408163,75.64,1,1,1,5551000,16.51,19.71,15.08,4.15,109,GB
