SchoolName;SportName;NCAAConference;Athletes ;Score;Eligibility;PreviousAthletes;PreviousScore;PreviousEligibility
Western Illinois University;Men's Soccer;The Summit League;23;1000;1;28;961;0.9608
Cornell University;Men's Basketball;The Ivy League;45;994;1;18;1000;1
University of Wisconsin, Madison;Women's Basketball;Big Ten Conference;15;983;0.9655;14;1000;1
Stanford University;Women's Tennis;Pac-12 Conference;8;1000;1;11;1000;1
University of Iowa;Women's Basketball;Big Ten Conference;14;963;0.963;15;983;0.9667
Princeton University;Women's Tennis;The Ivy League;10;1000;1;7;1000;1
Oklahoma State University;Women's Soccer;Big 12 Conference;24;1000;1;23;1000;1
Pennsylvania State University;Men's Tennis;Big Ten Conference;9;1000;1;10;1000;1
Baylor University;Women's Basketball;Big 12 Conference;13;980;1;14;1000;1
Baylor University;Men's Basketball;Big 12 Conference;13;1000;1;12;1000;1
University of Nebraska Omaha;Men's Basketball;The Summit League;13;980;1;12;917;1
University of Michigan;Women's Basketball;Big Ten Conference;11;1000;1;14;1000;1
Syracuse University;Women's Tennis;Atlantic Coast Conference;8;1000;1;8;1000;1
University of Michigan;Women's Soccer;Big Ten Conference;23;966;0.9556;20;971;1
Virginia Polytechnic Institute and State University;Men's Basketball;Atlantic Coast Conference;13;936;0.9167;14;940;0.9231
Dartmouth College;Women's Tennis;The Ivy League;9;1000;1;10;1000;1
Michigan State University;Men's Soccer;Big Ten Conference;23;988;1;23;962;0.95
University of Pittsburgh;Women's Basketball;Atlantic Coast Conference;12;958;0.9583;11;1000;1
University of Nebraska Omaha;Women's Tennis;The Summit League;8;1000;1;7;1000;1
Texas Christian University;Women's Soccer;Big 12 Conference;22;988;1;25;989;1
University of Miami (Florida);Women's Tennis;Atlantic Coast Conference;9;1000;1;8;962;1
Texas Christian University;Men's Basketball;Big 12 Conference;14;926;0.9259;13;918;0.88
Pennsylvania State University;Men's Basketball;Big Ten Conference;13;1000;1;13;958;0.96
Princeton University;Men's Tennis;The Ivy League;10;974;1;11;1000;1
Harvard University;Women's Ice Hockey;The Ivy League;18;1000;1;20;1000;1
North Dakota State University;Women's Basketball;The Summit League;16;983;1;14;982;0.9643
Brown University;Men's Basketball;The Ivy League;14;964;0.9286;10;950;1
Indiana University-Purdue University at Indianapolis;Women's Tennis;The Summit League;7;1000;1;8;969;0.9375
University of Illinois, Champaign;Men's Tennis;Big Ten Conference;9;1000;1;7;1000;1
Brown University;Women's Soccer;The Ivy League;29;1000;1;27;1000;1
University of Illinois, Champaign;Men's Basketball;Big Ten Conference;13;1000;1;13;980;1
University of Maryland, College Park;Women's Basketball;Big Ten Conference;14;1000;1;13;942;0.9615
Pennsylvania State University;Women's Basketball;Big Ten Conference;15;964;0.9643;12;978;0.9565
University of Denver;Men's Skiing;The Summit League;8;1000;1;10;1000;1
Georgia Institute of Technology;Men's Basketball;Atlantic Coast Conference;13;960;1;12;1000;1
Oregon State University;Women's Basketball;Pac-12 Conference;12;989;0.9783;12;979;1
Cornell University;Men's Soccer;The Ivy League;16;1000;1;16;917;0.9333
Columbia University-Barnard College;Men's Basketball;The Ivy League;15;1000;1;15;950;0.9667
Boston College;Men's Basketball;Atlantic Coast Conference;13;1000;1;11;977;1
Oklahoma State University;Men's Tennis;Big 12 Conference;10;1000;1;8;963;1
