surname,team,ranking,games,wins,draws,losses,goalsFor,goalsAgainst,yellowCards,redCards,position,minutes,shots,passes,tackles,saves
Abdoun,Algeria,30,3,0,1,2,0,2,4,2,midfielder,16,0,6,0,0
Belhadj,Algeria,30,3,0,1,2,0,2,4,2,defender,270,1,146,8,0
Boudebouz,Algeria,30,3,0,1,2,0,2,4,2,midfielder,74,3,28,1,0
Bougherra,Algeria,30,3,0,1,2,0,2,4,2,defender,270,1,89,11,0
Chaouchi,Algeria,30,3,0,1,2,0,2,4,2,goalkeeper,90,0,17,0,2
Djebbour,Algeria,30,3,0,1,2,0,2,4,2,forward,123,3,19,1,0
Ghezzal,Algeria,30,3,0,1,2,0,2,4,2,forward,40,3,8,0,0
Guedioura,Algeria,30,3,0,1,2,0,2,4,2,midfielder,38,0,18,1,0
Halliche,Algeria,30,3,0,1,2,0,2,4,2,defender,270,2,94,4,0
Kadir,Algeria,30,3,0,1,2,0,2,4,2,midfielder,262,0,104,3,0
Lacen,Algeria,30,3,0,1,2,0,2,4,2,midfielder,270,0,158,8,0
M'Bolhi,Algeria,30,3,0,1,2,0,2,4,2,goalkeeper,180,0,30,0,12
Matmour,Algeria,30,3,0,1,2,0,2,4,2,midfielder,255,3,68,3,0
Mesbah,Algeria,30,3,0,1,2,0,2,4,2,midfielder,1,0,1,0,0
Saifi,Algeria,30,3,0,1,2,0,2,4,2,forward,15,1,3,0,0
Yahia,Algeria,30,3,0,1,2,0,2,4,2,defender,269,1,79,4,0
Yebda,Algeria,30,3,0,1,2,0,2,4,2,midfielder,269,8,138,10,0
Ziani,Algeria,30,3,0,1,2,0,2,4,2,midfielder,240,5,93,6,0
Aguero,Argentina,7,5,4,0,1,10,6,7,0,forward,106,2,57,2,0
Bolatti,Argentina,7,5,4,0,1,10,6,7,0,midfielder,98,2,97,4,0
Burdisso,Argentina,7,5,4,0,1,10,6,7,0,defender,341,1,167,1,0
Demichelis,Argentina,7,5,4,0,1,10,6,7,0,defender,450,1,218,7,0
Di Maria,Argentina,7,5,4,0,1,10,6,7,0,midfielder,356,7,148,12,0
Gutierrez,Argentina,7,5,4,0,1,10,6,7,0,midfielder,191,0,83,11,0
Heinze,Argentina,7,5,4,0,1,10,6,7,0,defender,360,3,188,6,0
Higuain,Argentina,7,5,4,0,1,10,6,7,0,forward,341,13,93,5,0
Mascherano,Argentina,7,5,4,0,1,10,6,7,0,midfielder,360,0,237,19,0
Maxi Rodriguez,Argentina,7,5,4,0,1,10,6,7,0,midfielder,346,2,218,9,0
Messi,Argentina,7,5,4,0,1,10,6,7,0,forward,450,21,321,10,0
