"year","PST","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br..."
2000,"2000-1-1",46,42,39,39,38,36,93,85,71,30.07,30,29.92,10,9,3,16,9,22,0.44,6,"","206<br />"
2000,"2000-1-2",44,40,37,37,36,34,93,86,71,30.37,30.14,30.05,10,9,4,15,9,18,0.33,6,"","212<br />"
2000,"2000-1-3",48,42,39,43,40,37,93,86,81,30.38,30.32,30.12,10,10,10,20,12,22,0.05,7,"","167<br />"
2000,"2000-1-4",51,44,37,45,40,36,93,83,62,30.49,30.26,30.08,10,9,4,23,11,28,0.49,6,"","223<br />"
2000,"2000-1-5",50,42,32,39,36,28,93,86,58,30.59,30.53,30.46,10,10,9,8,4,NA,0,4,"","222<br />"
2000,"2000-1-6",42,36,30,39,33,28,100,89,81,30.45,30.37,30.3,10,5,0,12,3,NA,0.07,7,"","167<br />"
2000,"2000-1-7",53,48,42,46,44,39,93,83,71,30.36,30.27,30.08,10,10,8,15,8,NA,0,7,"","183<br />"
2000,"2000-1-8",51,48,44,45,39,36,82,73,62,30.31,30.23,30.08,10,9,2,18,11,29,0.02,6,"","247<br />"
2000,"2000-1-9",50,46,42,46,40,36,93,79,66,30.15,30.05,29.99,10,9,2,21,14,26,0.17,7,"","217<br />"
2000,"2000-1-10",44,40,37,37,37,34,93,90,71,30.05,29.72,29.63,10,6,1,14,5,16,0.55,8,"","181<br />"
2000,"2000-1-11",44,38,33,37,34,30,93,87,70,29.95,29.78,29.64,10,9,3,20,8,25,0.37,6,"","190<br />"
2000,"2000-1-12",39,36,33,36,33,30,93,89,87,30.06,30.01,29.94,10,9,2,20,12,18,0.5,7,"","169<br />"
2000,"2000-1-13",42,38,35,39,35,32,93,91,87,30.04,29.95,29.87,10,9,3,17,7,22,0.53,7,"","175<br />"
2000,"2000-1-14",50,41,30,43,40,28,93,82,66,30.18,29.97,29.85,10,10,7,16,8,21,0.11,6,"","209<br />"
2000,"2000-1-15",37,34,30,36,32,28,100,93,81,30.17,29.91,29.52,10,8,0,6,3,NA,0.32,5,"","304<br />"
2000,"2000-1-16",48,42,35,39,37,34,100,83,66,30.18,29.76,29.41,10,9,4,38,11,44,0.3,6,"","188<br />"
2000,"2000-1-17",44,37,30,39,32,28,100,91,76,30.24,30.2,30.19,10,3,0,6,3,NA,0,4,"","252<br />"
2000,"2000-1-18",39,34,30,36,30,28,100,94,81,30.21,30.16,30.11,10,3,0,4,1,NA,0,4,"","291<br />"
