,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,29.85,29.85,0
1,5575-GNVDE,1,0,0,0,34,1,0,2,1,0,1,0,0,0,1,0,1,56.95,1889.5,0
2,3668-QPYBK,1,0,0,0,2,1,0,2,1,1,0,0,0,0,0,1,1,53.85,108.15,1
3,7795-CFOCW,1,0,0,0,45,0,0,2,1,0,1,1,0,0,1,0,2,42.3,1840.75,0
4,9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,70.7,151.65,1
5,9305-CDSKC,0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,0,99.65,820.5,1
6,1452-KIOVK,1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,3,89.1,1949.4,0
7,6713-OKOMC,0,0,0,0,10,0,0,2,1,0,0,0,0,0,0,0,1,29.75,301.9,0
8,7892-POOKP,0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,0,104.8,3046.05,1
9,6388-TABGU,1,0,0,1,62,1,0,2,1,1,0,0,0,0,1,0,2,56.15,3487.95,0
10,9763-GRSKD,1,0,1,1,13,1,0,2,1,0,0,0,0,0,0,1,1,49.95,587.45,0
11,7469-LKBCI,1,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,3,18.95,326.8,0
12,8091-TTVAX,1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,3,100.35,5681.1,0
13,0280-XJGEX,1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,2,103.7,5036.3,1
14,5129-JLPIS,1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,0,105.5,2686.05,0
15,3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,3,113.25,7895.15,0
16,8191-XWSZG,0,0,0,0,52,1,0,0,0,0,0,0,0,0,1,0,1,20.65,1022.95,0
17,9959-WOFKT,1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,2,106.7,7382.25,0
18,4190-MFLUW,0,0,1,1,10,1,0,2,0,0,1,1,0,0,0,0,3,55.2,528.35,1
