default,student,balance,income
No,No,729.5264952072858,44361.62507426687
No,Yes,817.1804065554977,12106.134700314931
No,No,1073.549164011728,31767.138947399937
No,No,529.2506047452785,35704.4939350781
No,No,785.655882930501,38463.49587872287
No,Yes,919.5885304744999,7491.5585718274615
No,No,825.5133305172009,24905.226577523485
No,Yes,808.667504297266,17600.451343586858
No,No,1161.0578540313222,37468.529287537516
No,No,0,29275.2682931678
No,Yes,0,21871.07308927755
No,Yes,1220.5837530037688,13268.562220926113
No,No,237.04511397747194,28251.695344963136
No,No,606.7423433024643,44994.5558492173
No,No,1112.9684006330453,23810.174050036047
No,No,286.23256013922395,45042.413035885525
No,No,0,50265.312353598536
No,Yes,527.540184074571,17636.539617293645
No,No,485.9368641717292,61566.10611780103
No,No,1095.0727352873976,26464.631389229016
No,No,228.95254964257242,50500.182197744136
No,No,954.2617927735455,32457.509075075443
No,No,1055.956604729044,51317.8830823874
No,No,641.9843888480208,30466.103257481387
No,No,773.211724534176,34353.31430500384
No,No,855.0085225256915,25211.33216145394
No,No,642.9997385154295,41473.511801018685
No,No,1454.8632724840368,32189.094952317842
No,No,615.7042765604052,39376.3946187014
No,Yes,1119.569353328648,16556.070205351072
No,No,494.8162288073257,54384.78283613857
No,Yes,448.8806562560393,15799.470409795575
No,Yes,584.90489468245,22429.935046216757
No,No,913.587172608928,46907.22540286232
No,Yes,1423.9389166408805,22634.4880875812
No,Yes,1499.724656559734,13190.652716410255
No,No,692.034167065432,47806.61177289631
No,No,351.45347152300985,35087.48864808582
No,No,742.6276207855974,37864.82393889518
No,No,653.1184001233884,39489.59470286126
No,No,872.1386795384769,41787.56726890118
No,No,837.2626227541713,51471.77209463774
No,No,1151.6305660826529,42917.46956362817
No,Yes,220.55560838643976,16872.947555781422
No,Yes,1690.234410387009,19052.572224695494
No,No,408.7729143051852,54206.939212017904
No,No,1238.610321241124,50066.6805336538
No,No,1228.3083503533583,37408.50386850756
No,No,820.9192041461837,47746.542073101606
No,No,857.4851177765004,31688.345973891915
No,No,563.6181771823624,42641.253266646025
No,Yes,1282.9725335957778,13120.63646960268
No,Yes,1505.7826748288405,26557.141445880814
No,Yes,904.0402590668128,16882.300605653527
No,No,0,49956.58057190597
No,Yes,1294.4973466731021,10464.320731923122
No,Yes,1275.550632723641,15887.468486777369
No,No,1536.5946009725167,48766.90745756152
No,No,1332.5226438669488,39143.13706901777
No,No,492.07976781541066,33379.09460283949
No,No,766.2343793038935,46478.2942569524
No,No,690.1272461999931,63432.98425446742
No,No,0,32481.540046115137
No,No,1480.655309262662,36866.15706868477
No,No,989.0555969753041,45344.25132026475
No,No,1302.3418351685646,33695.42623326361
No,No,1044.552343284715,54696.76598162258
No,No,0,43658.22772399567
No,No,866.0284363679901,38363.42163471179
No,No,690.800792354134,48140.47133599499
No,No,597.7571420170611,31577.61512556769
No,No,429.4854023062761,51311.21810102304
No,No,1398.1562014832557,39644.94219318956
No,Yes,1578.0640985399407,19886.493951516848
No,No,857.0690531342425,26655.68896537547
No,Yes,752.459945958806,16211.275788182638
No,Yes,774.7384269639269,15193.733135524952
No,No,728.3732513025868,45131.718264690964
No,No,76.99129052990713,28392.093412284645
No,No,196.4569131361834,41346.78591323998
No,Yes,948.7479183886163,14297.619048551254
No,No,431.9208853041759,39369.8815631008
No,No,461.63818223378007,46221.21149482338
No,No,572.0157602305989,33046.312957503316
No,No,335.5681447331789,51258.444229962064
No,No,510.2375931563797,60397.71864869477
No,Yes,1005.1613055557738,24038.652043311755
No,Yes,162.4544510865644,13241.752060075938
No,No,932.5331556823305,50537.465648460166
No,Yes,893.3304676122754,11905.681792548356
No,No,1332.7825635257136,44495.162762905355
No,No,1404.3830694521525,35043.106028674214
No,Yes,1148.96513915926,16578.192118472885
No,No,368.2234257205449,57596.825843193525
No,No,449.4666287692729,45950.66672386865
No,No,820.0171125784229,51584.6573183834
No,Yes,619.7518685755929,15750.62208342225
No,No,1047.718124009614,46416.970994241936
No,No,243.84132832575978,47193.888130970634
No,No,186.50038693149475,45430.5502710943
No,No,1422.0184875757648,38224.031521497156
No,No,383.7986590056735,61425.28638811401
No,No,1159.435096088591,45802.10493869089
No,No,882.9919125518502,17181.737966381832
No,No,1463.232891610859,65457.85418758239
No,Yes,1722.3558462831465,19311.42294080441
No,Yes,773.9218612577349,14558.91213838347
No,No,958.1694184689882,32816.28479564153
No,No,1207.532730149514,68037.57512617772
