Rank;Title;Previous Rank;Revenues ($M);Revenue Change;Profits ($M);Profit Change;Assets ($M);Market Value ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500;City;State;Latitude;Longitude;CEO Gender;Revenues per Employee ($M);Profits per Employee ($M);Change in Rank
1;Walmart;1;500343;3.00%;9862;-27.70%;204522;263563;2300000;C. Douglas McMillon;President, Chief Executive Officer &  Director;Retailing;General Merchandisers;24;Bentonville;AR;36.3728538;-94.2088172;Male;0.2175404347826087;0.004287826086956522;0
2;Exxon Mobil;4;244363;17.40%;19710;151.40%;348691;316157;71200;Darren W. Woods;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;24;Irving;TX;32.8140177;-96.9488945;Male;3.432064606741573;0.2768258426966292;2
3;Berkshire Hathaway;2;242137;8.30%;44940;86.70%;702095;492008;377000;Warren E. Buffett;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);24;Omaha;NE;41.2565369;-95.9345034;Male;0.6422732095490716;0.11920424403183023;-1
4;Apple;3;229234;6.30%;48351;5.80%;375319;851318;123000;Timothy D. Cook;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;24;Cupertino;CA;37.3229978;-122.0321823;Male;1.8636910569105691;0.39309756097560977;-1
5;UnitedHealth Group;6;201159;8.80%;10558;50.50%;139058;207080;260000;David S. Wichmann;Chairman &  Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;24;Minnetonka;MN;44.9211836;-93.4687489;Male;0.7736884615384615;0.04060769230769231;1
6;McKesson;5;198533;3.10%;5070;124.50%;60969;29067;64500;John H. Hammergren;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;SF;CA;37.7749295;-122.4194155;Male;3.078031007751938;0.0786046511627907;-1
7;CVS Health;7;184765;4.10%;6622;24.50%;95131;63114;203000;Larry J. Merlo;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;24;Woonsocket;RI;42.0028761;-71.5147839;Male;0.9101724137931034;0.03262068965517241;0
8;Amazon.com;12;177866;30.80%;3033;27.90%;131310;700668;566000;Jeffrey P. Bezos;Chairman, President &  Chief Executive Officer;Retailing;Internet Services and Retailing;17;Seattle;WA;47.6062095;-122.3320708;Male;0.3142508833922261;0.005358657243816255;4
9;AT&T;9;160546;-2.00%;29450;127.00%;444097;218946;254000;Randall L. Stephenson;Chairman, President &  Chief Executive Officer;Telecommunications;Telecommunications;24;Dallas;TX;32.7766642;-96.7969879;Male;0.6320708661417322;0.11594488188976378;0
10;General Motors;8;157311;-5.50%;-3864;-141.00%;212482;50972;180000;Mary T. Barra;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Detroit;MI;42.331427;-83.0457538;Female;0.87395;-0.021466666666666665;-2
11;Ford Motor;10;156776;3.30%;7602;65.40%;257808;44244;202000;James P. Hackett;President, Chief Executive Officer &  Director;Motor Vehicles &  Parts;Motor Vehicles and Parts;24;Dearborn;MI;42.3222599;-83.1763145;Male;0.7761188118811881;0.03763366336633663;-1
12;AmerisourceBergen;11;153144;4.30%;364.5;-74.50%;35317;18938;19500;Steven H. Collis;Chairman, President &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;Chesterbrook;PA;40.0756627;-75.4590816;Male;7.853538461538461;0.018692307692307692;-1
13;Chevron;19;134533;25.10%;9195;-;253806;217845;51900;Michael K. Wirth;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;24;San Ramon;CA;37.7799273;-121.9780153;Male;2.5921579961464354;0.17716763005780348;6
14;Cardinal Health;15;129976;6.90%;1288;-9.70%;40112;19726;40400;Michael C. Kaufmann;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Health Care;24;Dublin;OH;40.0992294;-83.1140771;Male;3.2172277227722774;0.03188118811881188;1
15;Costco;16;129025;8.70%;2679;14.00%;36347;82687;182000;W. Craig Jelinek;President, Chief Executive Officer &  Director;Retailing;General Merchandisers;24;Issaquah;WA;47.5301011;-122.0326191;Male;0.7089285714285715;0.01471978021978022;1
16;Verizon;14;126034;0.00%;30101;129.30%;257143;197497;155400;Lowell C. McAdam;Chairman &  Chief Executive Officer;Telecommunications;Telecommunications;24;New York;NY;40.7127753;-74.0059728;Male;0.811029601029601;0.1937001287001287;-2
17;Kroger;18;122662;6.40%;1907;-3.40%;37197;20828;449000;W. Rodney McMullen;Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;24;Cincinnati;OH;39.1031182;-84.5120196;Male;0.2731893095768374;0.004247216035634744;1
18;General Electric;13;122274;-3.50%;-5786;-165.50%;377945;117054;313000;John L. Flannery Jr.;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;24;Boston;MA;42.3600825;-71.0588801;Male;0.3906517571884984;-0.01848562300319489;-5
19;Walgreens Boots Alliance;17;118214;0.70%;4078;-2.30%;66009;64924;290000;Stefano Pessina;Vice Chairman &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;24;Deerfield;IL;42.1711365;-87.8445119;Male;0.4076344827586207;0.014062068965517241;-2
20;JPMorgan Chase;21;113899;8.00%;24441;-1.20%;2533600;375043;252539;James Dimon;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728;Male;0.4510154867169031;0.09678109123739304;1
21;Fannie Mae;20;112394;4.90%;2463;-80.00%;3345529;1633;7200;Timothy J. Mayopoulos;President, Chief Executive Officer &  Director;Financials;Diversified Financials;21;Leavenworth;WA;47.7510741;-120.7401385;Male;15.610277777777778;0.34208333333333335;-1
22;Alphabet;27;110855;22.80%;12662;-35.00%;197295;719124;80110;Larry Page;Chief Executive Officer &  Director;Technology;Internet Services and Retailing;13;Mountain View;CA;37.3860517;-122.0838511;Male;1.3837847959056297;0.15805767070278368;5
23;Home Depot;23;100904;6.70%;8630;8.50%;44529;206272;413000;Craig A. Menear;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Atlanta;GA;33.7489954;-84.3879824;Male;0.24431961259079904;0.02089588377723971;0
24;Bank of America Corp.;26;100264;7.00%;18232;1.80%;2281234;306618;209376;Brian T. Moynihan;Chairman, President &  Chief Executive Officer;Financials;Commercial Banks;24;Charlotte;NC;35.2270869;-80.8431267;Male;0.47887054867797646;0.08707779306128687;2
25;Express Scripts Holding;22;100065;-0.20%;4517.4;32.70%;54256;38791;26600;Timothy C. Wentworth;President, Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;19;St. Louis;MO;38.6270025;-90.1994042;Male;3.761842105263158;0.1698270676691729;-3
26;Wells Fargo;25;97741;3.80%;22183;1.10%;1951757;255556;262700;Timothy J. Sloan;President, Chief Executive Officer &  Director;Financials;Commercial Banks;24;SF;CA;37.7749295;-122.4194155;Male;0.3720631899505139;0.08444232965359726;-1
27;Boeing;24;93392;-1.20%;8197;67.50%;92333;192539;140800;Dennis A. Muilenburg;Chairman, President &  Chief Executive Officer;Aerospace &  Defense;Aerospace and Defense;24;Chicago;IL;41.8781136;-87.6297982;Male;0.6632954545454546;0.05821732954545455;-3
28;Phillips 66;34;91568;26.50%;5106;228.40%;54371;44730;14600;Greg C. Garland;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;6;Houston;TX;29.7604267;-95.3698028;Male;6.271780821917808;0.3497260273972603;6
29;Anthem;29;90040;6.10%;3842.8;55.60%;70540;56182;56000;Gail K. Boudreaux;President, Chief Executive Officer &  Director;Health Care;Health Care: Insurance and Managed Care;24;Indianapolis;IN;39.768403;-86.158068;Female;1.6078571428571429;0.06862142857142857;0
30;Microsoft;28;89950;5.40%;21204;26.20%;241086;702760;124000;Satya Nadella;Chief Executive Officer &  Director;Technology;Computer Software;24;Redmond;WA;47.6739881;-122.121512;Male;0.7254032258064517;0.171;-2
31;Valero Energy;37;88407;26.00%;4065;77.60%;50158;39977;10015;Joseph W. Gorder;Chairman, President &  Chief Executive Officer;Energy;Petroleum Refining;20;San Antonio;TX;29.4241219;-98.4936282;Male;8.827458811782327;0.4058911632551173;6
32;Citigroup;30;87966;6.80%;-6798;-145.60%;1842465;172822;209000;Michael L. Corbat;Chairman &  Chief Executive Officer;Financials;Commercial Banks;24;New York;NY;40.7127753;-74.0059728;Male;0.42088995215311004;-0.03252631578947368;-2
33;Comcast;31;84526;5.10%;22714;161.20%;186949;158703;164000;Brian L. Roberts;Chairman, President &  Chief Executive Officer;Telecommunications;Telecommunications;23;Philadelphia;PA;39.9525839;-75.1652215;Male;0.5154024390243902;0.1385;-2
34;IBM;32;79139;-1.00%;5753;-51.50%;125356;141335;397800;Virginia M. Rometty;Chairman, President &  Chief Executive Officer;Technology;Information Technology Services;24;Armonk;NY;41.1264849;-73.7140195;Female;0.1989416792357969;0.014462041226747109;-2
35;Dell Technologies;41;78660;21.40%;-3728;-;122281;NA;145000;Michael S. Dell;Chairman &  Chief Executive Officer;Technology;Computers, Office Equipment;21;Round Rock;TX;30.5082551;-97.678896;Male;0.5424827586206896;-0.025710344827586207;6
36;State Farm Insurance Cos.;33;78331;2.90%;2206.5;529.90%;272345;NA;65664;Michael L. Tipsord;Chairman, President &  Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);24;Bloomington;IL;40.4842027;-88.9936873;Male;1.1929063109161793;0.03360288742690058;-3
37;Johnson & Johnson;35;76450;6.30%;1300;-92.10%;157303;343780;134000;Alex Gorsky;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;24;New Brunswick;NJ;40.4862157;-74.4518188;Male;0.5705223880597015;0.009701492537313432;-2
38;Freddie Mac;39;74676;13.70%;5625;-28.00%;2049776;878;6165;Donald H. Layton;Chairman &  Chief Executive Officer;Financials;Diversified Financials;21;McLean;VA;38.9338676;-77.1772604;Male;12.112895377128954;0.9124087591240876;1
39;Target;38;71879;3.40%;2934;7.20%;38999;37409;345000;Brian C. Cornell;Chairman &  Chief Executive Officer;Retailing;General Merchandisers;24;Minneapolis;MN;44.977753;-93.2650108;Male;0.20834492753623188;0.008504347826086956;-1
40;Lowes;40;68619;5.50%;3447;11.40%;35291;72812;255000;Robert A. Niblock;Chairman, President &  Chief Executive Officer;Retailing;Specialty Retailers: Other;24;Mooresville;NC;35.5848596;-80.8100724;Male;0.2690941176470588;0.01351764705882353;0
41;Marathon Petroleum;51;67610;21.00%;3432;192.30%;49047;34683;43800;Gary R. Heminger;Chairman &  Chief Executive Officer;Energy;Petroleum Refining;7;Findlay;OH;41.04422;-83.6499321;Male;1.543607305936073;0.07835616438356165;10
42;Procter & Gamble;36;66217;-7.70%;15326;45.90%;120406;199865;95000;David S. Taylor;Chairman, President &  Chief Executive Officer;Household Products;Household and Personal Products;24;Cincinnati;OH;39.1031182;-84.5120196;Male;0.697021052631579;0.16132631578947368;-6
