Title,Year,Genres,Duration,Rating,MPA,Votes
1. American Sniper,2014,"['Action', 'Biography', 'Drama', 'War']",2h 13m,7.3,R,543K
2. The Hunger Games: Mockingjay - Part 1,2014,"['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2h 3m,6.6,PG-13,517K
3. Guardians of the Galaxy,2014,"['Quest', 'Space Sci-Fi', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']",2h 1m,8.0,PG-13,1.3M
4. Captain America: The Winter Soldier,2014,"['Conspiracy Thriller', 'Political Thriller', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2h 16m,7.7,PG-13,920K
5. The Lego Movie,2014,"['Computer Animation', 'Dystopian Sci-Fi', 'Globetrotting Adventure', 'Quest', 'Quirky Comedy', 'Satire', 'Slapstick', 'Stop Motion Animation', 'Action', 'Adventure']",1h 40m,7.7,PG,397K
6. The Hobbit: The Battle of the Five Armies,2014,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Adventure', 'Fantasy']",2h 24m,7.4,R,589K
7. Transformers: Age of Extinction,2014,"['Action', 'Adventure', 'Sci-Fi']",2h 45m,5.6,PG-13,338K
8. Maleficent,2014,"['Dark Fantasy', 'Fairy Tale', 'Sword & Sorcery', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']",1h 37m,6.9,PG,408K
9. X-Men: Days of Future Past,2014,"['Superhero', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2h 12m,7.9,PG-13,763K
10. Big Hero 6,2014,"['Computer Animation', 'Quest', 'Superhero', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",1h 42m,7.8,PG,520K
11. Dawn of the Planet of the Apes,2014,"['Dystopian Sci-Fi', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",2h 10m,7.6,PG-13,495K
12. The Amazing Spider-Man 2,2014,"['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",2h 22m,6.6,PG-13,555K
13. Interstellar,2014,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Drama', 'Sci-Fi']",2h 49m,8.7,PG-13,2.2M
14. Godzilla,2014,"['Dinosaur Adventure', 'Disaster', 'Kaiju', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",2h 3m,6.4,PG-13,450K
15. 22 Jump Street,2014,"['Buddy Cop', 'Action', 'Comedy', 'Crime']",1h 52m,7.0,R,417K
16. Teenage Mutant Ninja Turtles,2014,"['Samurai', 'Superhero', 'Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy', 'Sci-Fi']",1h 41m,5.8,PG-13,224K
17. How to Train Your Dragon 2,2014,"['Computer Animation', 'Teen Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1h 42m,7.8,PG,375K
18. Gone Girl,2014,"['Erotic Thriller', 'Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Tragedy', 'Drama', 'Mystery', 'Thriller']",2h 29m,8.1,R,1.1M
19. Divergent,2014,"['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Mystery', 'Sci-Fi']",2h 19m,6.6,PG-13,500K
20. Neighbors,2014,['Comedy'],1h 37m,6.3,R,336K
21. Ride Along,2014,"['Buddy Cop', 'Action', 'Comedy', 'Crime']",1h 39m,6.1,PG-13,125K
22. Rio 2,2014,"['Animal Adventure', 'Computer Animation', 'Jungle Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",1h 41m,6.3,G,104K
23. Kingsman: The Secret Service,2014,"['Gun Fu', 'Spy', 'Action', 'Adventure', 'Comedy', 'Thriller']",2h 9m,7.7,R,740K
24. Into the Woods,2014,"['Fairy Tale', 'Quest', 'Supernatural Fantasy', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",2h 5m,5.9,PG,150K
25. Lucy,2014,"['Action', 'Sci-Fi', 'Thriller']",1h 29m,6.4,R,549K
26. The Fault in Our Stars,2014,"['Coming-of-Age', 'Teen Drama', 'Teen Romance', 'Tragedy', 'Drama', 'Romance']",2h 6m,7.7,PG-13,411K
27. Unbroken,2014,"['Prison Drama', 'War Epic', 'Biography', 'Drama', 'Sport', 'War']",2h 17m,7.2,PG-13,188K
28. Night at the Museum: Secret of the Tomb,2014,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1h 38m,6.2,PG,140K
29. Mr. Peabody & Sherman,2014,"['Computer Animation', 'Time Travel', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'History', 'Sci-Fi']",1h 32m,6.8,PG,80K
30. 300: Rise of an Empire,2014,"['Action Epic', 'Epic', 'Sword & Sandal', 'Action', 'Drama']",1h 42m,6.2,R,321K
31. The Maze Runner,2014,"['Suspense Mystery', 'Mystery', 'Sci-Fi', 'Thriller']",1h 53m,6.8,PG-13,527K
32. The Equalizer,2014,"['One-Person Army Action', 'Action', 'Crime', 'Thriller']",2h 12m,7.3,R,437K
33. Noah,2014,"['Epic', 'Action', 'Adventure', 'Drama']",2h 18m,5.8,PG-13,270K
34. Edge of Tomorrow,2014,"['Alien Invasion', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']",1h 53m,7.9,PG-13,761K
35. Non-Stop,2014,"['Psychological Thriller', 'Action', 'Mystery', 'Thriller']",1h 46m,6.9,PG-13,280K
36. Heaven Is for Real,2014,"['Biography', 'Drama', 'Family']",1h 39m,5.9,PG,29K
37. The Imitation Game,2014,"['Period Drama', 'Psychological Drama', 'Biography', 'Drama', 'Thriller', 'War']",1h 54m,8.0,PG-13,843K
38. Taken 3,2014,"['Action', 'Thriller']",1h 48m,6.0,PG-13,208K
