location;date;cases;deaths;tests;vaccinations
Albania;25.02.2020;;;8.0;
Albania;26.02.2020;;;5.0;
Albania;27.02.2020;;;4.0;
Albania;28.02.2020;;;1.0;
Albania;29.02.2020;;;8.0;
Albania;01.03.2020;;;3.0;
Albania;02.03.2020;;;2.0;
Albania;03.03.2020;;;5.0;
Albania;04.03.2020;;;6.0;
Albania;05.03.2020;;;8.0;
Albania;06.03.2020;;;3.0;
Albania;07.03.2020;;;5.0;
Albania;08.03.2020;;;1.0;
Albania;09.03.2020;2.0;;18.0;
Albania;10.03.2020;8.0;;37.0;
Albania;11.03.2020;2.0;1.0;43.0;
Albania;12.03.2020;11.0;0.0;141.0;
Albania;13.03.2020;10.0;0.0;159.0;
Albania;14.03.2020;5.0;0.0;48.0;
Albania;15.03.2020;4.0;0.0;27.0;
Albania;16.03.2020;9.0;0.0;31.0;
Albania;17.03.2020;4.0;0.0;42.0;
Albania;18.03.2020;4.0;1.0;60.0;
Albania;19.03.2020;5.0;0.0;32.0;
Albania;20.03.2020;6.0;0.0;35.0;
Albania;21.03.2020;6.0;0.0;46.0;
Albania;22.03.2020;13.0;0.0;33.0;
Albania;23.03.2020;15.0;2.0;;
Albania;24.03.2020;19.0;1.0;;
Albania;25.03.2020;23.0;0.0;111.0;
Albania;26.03.2020;28.0;1.0;103.0;
Albania;27.03.2020;12.0;2.0;102.0;
Albania;28.03.2020;11.0;2.0;79.0;
Albania;29.03.2020;15.0;0.0;111.0;
Albania;30.03.2020;11.0;1.0;90.0;
Albania;31.03.2020;20.0;4.0;145.0;
Albania;01.04.2020;16.0;0.0;152.0;
Albania;02.04.2020;18.0;1.0;96.0;
Albania;03.04.2020;27.0;1.0;112.0;
Albania;04.04.2020;29.0;3.0;216.0;
Albania;05.04.2020;28.0;0.0;149.0;
Albania;06.04.2020;16.0;1.0;175.0;
Albania;07.04.2020;6.0;1.0;182.0;
Albania;08.04.2020;17.0;0.0;236.0;
Albania;09.04.2020;9.0;1.0;234.0;
Albania;10.04.2020;7.0;0.0;162.0;
Albania;11.04.2020;17.0;0.0;259.0;
Albania;12.04.2020;13.0;0.0;233.0;
Albania;13.04.2020;21.0;0.0;193.0;
Albania;14.04.2020;8.0;1.0;236.0;
Albania;15.04.2020;19.0;1.0;252.0;
Albania;16.04.2020;24.0;1.0;269.0;
Albania;17.04.2020;21.0;0.0;253.0;
Albania;18.04.2020;9.0;0.0;231.0;
Albania;19.04.2020;14.0;0.0;231.0;
